2017-01-17 13:19:17,231 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost/testdb]
2017-01-17 13:19:22,557 | INFO | o.h.Version | [AWT-EventQueue-0] HHH000412: Hibernate Core {5.2.2.Final}
2017-01-17 13:19:22,561 | INFO | o.h.c.Environment | [AWT-EventQueue-0] HHH000206: hibernate.properties not found
2017-01-17 13:19:22,563 | INFO | o.h.c.Environment | [AWT-EventQueue-0] HHH000021: Bytecode provider name : javassist
2017-01-17 13:19:23,115 | INFO | o.h.a.c.Version | [AWT-EventQueue-0] HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-01-17 13:19:23,211 | WARN | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-01-17 13:19:23,219 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost/testdb]
2017-01-17 13:19:23,220 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001001: Connection properties: {user=postgres, password=****}
2017-01-17 13:19:23,220 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001003: Autocommit mode: false
2017-01-17 13:19:23,224 | INFO | o.h.e.j.c.i.DriverManagerConnectionProviderImpl | [AWT-EventQueue-0] HHH000115: Hibernate connection pool size: 20 (min=1)
2017-01-17 13:19:23,837 | INFO | o.h.d.Dialect | [AWT-EventQueue-0] HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-01-17 13:19:25,132 | INFO | o.h.o.c.access | [AWT-EventQueue-0] HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@7e9089a4] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-01-17 13:19:25,707 | WARN | o.h.o.deprecation | [AWT-EventQueue-0] HHH90000022: Hibernate's legacy org.hibernate.Criteria API is deprecated; use the JPA javax.persistence.criteria.CriteriaQuery instead
2017-01-17 13:19:25,879 | INFO | o.h.h.i.QueryTranslatorFactoryInitiator | [AWT-EventQueue-0] HHH000397: Using ASTQueryTranslatorFactory
2017-01-17 13:19:29,987 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost/testdb]
2017-01-17 16:00:03,277 | DEBUG | c.a.h.M.Controller | [AWT-EventQueue-0] Run application
2017-01-17 16:00:03,958 | INFO | o.h.Version | [AWT-EventQueue-0] HHH000412: Hibernate Core {5.2.2.Final}
2017-01-17 16:00:03,974 | INFO | o.h.c.Environment | [AWT-EventQueue-0] HHH000206: hibernate.properties not found
2017-01-17 16:00:03,979 | INFO | o.h.c.Environment | [AWT-EventQueue-0] HHH000021: Bytecode provider name : javassist
2017-01-17 16:00:05,679 | INFO | c.a.h.u.HibernateUtil | [AWT-EventQueue-0] Hibernate Annotation Configuration loaded
2017-01-17 16:00:05,731 | INFO | c.a.h.u.HibernateUtil | [AWT-EventQueue-0] Hibernate Annotation serviceRegistry created
2017-01-17 16:00:05,817 | INFO | o.h.a.c.Version | [AWT-EventQueue-0] HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-01-17 16:00:06,081 | WARN | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2017-01-17 16:00:06,120 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost/testdb]
2017-01-17 16:00:06,121 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001001: Connection properties: {user=postgres, password=****}
2017-01-17 16:00:06,121 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001003: Autocommit mode: false
2017-01-17 16:00:06,124 | INFO | o.h.e.j.c.i.DriverManagerConnectionProviderImpl | [AWT-EventQueue-0] HHH000115: Hibernate connection pool size: 20 (min=1)
2017-01-17 16:00:09,135 | INFO | o.h.d.Dialect | [AWT-EventQueue-0] HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-01-17 16:00:12,603 | INFO | o.h.o.c.access | [AWT-EventQueue-0] HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@388955fe] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2017-01-17 16:00:14,936 | WARN | o.h.o.deprecation | [AWT-EventQueue-0] HHH90000022: Hibernate's legacy org.hibernate.Criteria API is deprecated; use the JPA javax.persistence.criteria.CriteriaQuery instead
2017-01-17 16:00:15,713 | INFO | o.h.h.i.QueryTranslatorFactoryInitiator | [AWT-EventQueue-0] HHH000397: Using ASTQueryTranslatorFactory
2017-01-17 16:00:32,095 | DEBUG | c.a.h.M.Controller | [AWT-EventQueue-0] Close application
2017-01-17 16:00:32,116 | INFO | o.h.o.c.pooling | [AWT-EventQueue-0] HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost/testdb]
